id,name,categories,city,address,recurrence,description,website,lastVerified
bears-bar-madrid,Bears Bar,bear|leather,Madrid,Chueca,Abierto todos los días,"Uno de los puntos de encuentro clásicos de la comunidad bear de Madrid. Organiza fiestas los fines de semana y 2x1 en copas hasta medianoche, incluida la temática recurrente ""Noche Nudista"".",https://www.esmadrid.com/en/nightlife/bears-bar,2026-09-11
naked-madrid,NAKED,leather|bdsm,Madrid,Chueca,Abierto todos los días,"Bar leather y fetish dedicado, dos plantas con darkroom, cruising, slings y pantallas.",https://madrid.gaycities.com/bars?neighborhood=chueca&type=cruising,2026-09-11
hot-bar-madrid,HOT,bear,Madrid,Chueca,Abierto todos los días,"Sede de la Hot Bears Week, el concurso Mr Bear España y la fiesta de clausura Bear Pride Madrid en el Orgullo.",https://barhotchuecamadrid.com/,2026-09-11
mad-daddy-club-madrid,Mad Daddy Club,daddy|gay,Madrid,Chueca,Abierto todos los días,"Bar y club para Daddys y admiradores, ambiente relajado con zona más oscura al fondo, música 80s/90s.",https://www.gaytravel4u.com/event/daddyland-madrid/,2026-09-11
the-cage-madrid,The Cage,bdsm|leather,Madrid,Chueca,"Lunes-jueves 17-01h, viernes-sábado desde las 19h","Club fetish/sexo para hombres. Instalaciones industriales con sling, cabinas privadas y glory holes. Ambiente peludo/leather/daddy.",https://www.travelgay.com/venue/the-cage,2026-09-11
attack-madrid,Attack,bdsm|leather,Madrid,"C. de Olivar 22, Lavapiés",Consultar horario,"Club de cruising y fetish con dungeon, sling, cruz de San Andrés y dark room. Organiza fiestas temáticas leather/fetish.",https://www.travelgay.com/venue/attack,2026-09-11
firewood-madrid,Firewood,bdsm|leather,Madrid,"C. de Caños Viejos 2 (La Latina)","Viernes-sábado 20-03:30h, domingo 15-23h","Bar de cruising y fetish de 250m², dark room, slings, literas. Noches temáticas de gear fetish y desnudo.",https://firewoodbarmadrid.com/,2026-09-11
the-ring-madrid,The Ring Private,bdsm|leather,Madrid,"C. del Amparo 78, Lavapiés","Jueves 22-03h, viernes-sábado 22-06h, domingo 22-03h","Club de cruising privado (requiere membresía) con slings, jaulas, dungeon y un ring de boxeo como seña de identidad.",https://www.travelgay.com/venue/the-ring-private,2026-09-11
meat-rack-madrid,The Meat Rack,bdsm|leather,Madrid,Cerca de Malasaña,"Miércoles-jueves 22-04h, viernes-sábado 23:30-06h, domingo 23-04h","Club privado de cruising en un antiguo garaje: laberinto, water sports, jaulas. Nota: alguna fuente indica que podría haber cerrado — confirmar antes de dar por hecho que sigue abierto.",https://www.travelgay.com/venue/the-meat-rack,2026-09-11
secrets-madrid,Secrets,bdsm,Madrid,Centro,"Jueves 23-05:30h, viernes-sábado 23-06h","Bar de cruising con ""zona secreta"" privada. Ambiente fetish-friendly, noches temáticas.",https://www.misterbandb.com/gay-guide/spain/madrid/29-sex-clubs,2026-09-11
zarpa-madrid,ZARPA,bear,Madrid,"C. de las Infantas, Chueca","Miércoles-sábado 21/22-03/03:30h","Bar de bears y admiradores en Chueca, 2x1 hasta medianoche, ambiente neón/oso.",https://www.travelgay.com/venue/zarpa,2026-09-11
sauna-thermas-moratalaz-madrid,Thermas (Nuevas Thermas Moratalaz),bear,Madrid,"C. de José del Prado y Palacio 5, Moratalaz",Abierto todos los días,"Sauna gay con darkroom, sala de cine y bar. Público mayoritariamente bear/maduro, ambiente de barrio.",https://www.travelgay.com/venue/thermas-madrid,2026-09-11
sauna-puerta-de-toledo-madrid,Sauna Puerta de Toledo,bear,Madrid,"Cuesta de las Descargas 6",Todos los días 14-23h,"Sauna gay en el centro con jacuzzi, cine, darkroom. Público con fuerte presencia de maduros y osos.",https://saunapuertadetoledo.com/,2026-09-11
loco-bongo-torremolinos,Loco Bongo Torremolinos,gay,Torremolinos (Málaga),Plaza de Toros de Torremolinos,Temporada de verano — consultar calendario,"Fiesta-bingo-show muy gay-friendly con formato de concurso al estilo años 90. Edición especial ""XXL"" en fechas de Pride/Navidad.",https://locobongo.es/torremolinos/,2026-09-11
