id,title,promoter,categories,city,venue,startDate,endDate,dateNote,priceInfo,ticketUrl,sourceUrl,lastMinuteChangeNote,lastMinuteChangeDate,description,lastVerified
sitges-bears-week-2026,Sitges Bears Week,Bears Sitges,bear|gay,Sitges (Barcelona),Varios locales del pueblo,2026-09-04,2026-09-13,,Consultar web oficial (pases por día y semana),https://bearssitges.org/bears-sitges-week/,https://bearssitges.org/bears-sitges-week/,,,"El mayor evento bear de España, más de 8.000 asistentes de todo el mundo.",2026-09-11
mad-bear-madrid-2026,Mad Bear Madrid,Mad Bear,bear|gay,Madrid,"Ya'sta Club, Bears Bar, El 12 Bar, Thick Bar, Hot Bar, Mad.Daddy Club, Octopus Sauna (Chueca)",2026-12-03,2026-12-09,"Programa oficial marcado como ""en actualización"" en madbear.org — puede variar",Consultar web oficial,https://madbear.org/en/madbear-madrid,https://madbear.org/en/madbear-madrid,,,"Puente de la Constitución/Inmaculada: ruta de bares por la tarde desde las 18h (Bears Bar, El 12, Thick, Hot) y fiestas de madrugada en Ya'sta Club.",2026-09-11
sleazy-madrid-2026-spring,Sleazy Madrid (edición 25 aniversario),Sleazy Madrid,leather|bdsm,Madrid,Varios clubs (Strong The Club y otros),2026-04-29,2026-05-03,Edición 2026 ya finalizada — referencia para la próxima (fecha 2027 aún no anunciada),Consultar web oficial / Instagram @sleazymadrid,https://www.instagram.com/sleazymadrid/,https://www.instagram.com/sleazymadrid/,,,"Uno de los mayores eventos leather y fetish de España, con fiestas temáticas cada noche (Morbo y Duro, Odarko, Into the Tank).",2026-09-11
sleazy-madrid-2026-winter,Sleazy Madrid — Edición Invierno,Sleazy Madrid,leather|bdsm,Madrid,Varios clubs,2026-12-04,2026-12-07,"Rango estimado (4 noches, patrón de ediciones previas) — fechas oficiales 2026 aún no anunciadas",Consultar web oficial,https://www.instagram.com/sleazymadrid/,https://www.instagram.com/sleazymadrid/,,,"Edición de invierno del festival Sleazy Madrid, coincide con el mismo puente de diciembre que Mad Bear Madrid.",2026-09-11
morbo-y-duro-julio-2026,Morbo Y Duro — Strong Pride Madrid,Strong The Club,bdsm|leather,Madrid,Strong The Club,2026-07-02,,Edición 2026 ya finalizada — referencia (Morbo y Duro también tiene edición fija en Nochevieja),Consultar strong.madrid,https://strong.madrid/,https://strong.madrid/,,,"Fiesta fetish mensual, edición especial durante el Pride de Madrid. Solo hombres, dress code estricto (cuero, goma, arnés).",2026-09-11
mr-leather-spain-2026,Mr Leather Spain,The Leathermen Club of Spain,leather,Madrid,Por confirmar,2026-10-30,2026-11-01,,Consultar web oficial,,https://www.gaytravel4u.com/event/madrid-leather-weekend/,,,"Fin de semana leather con la final del concurso Mr Leather LGTBI España, cena de gala y fiesta.",2026-09-11
daddyland-madrid-2026,Daddyland Madrid,Daddyland,daddy|bear|bdsm,Madrid,Zenith Night Club,2026-12-05,,Fecha exacta por confirmar (diciembre 2026),Consultar web oficial,,https://www.gaytravel4u.com/event/daddyland-madrid/,,,"Versión madrileña del evento circuit de EE.UU., con Fetish Boys, Daddies, Pups y Bears.",2026-09-11
nightride-strong-2026-09-11,Nightride,Strong The Club,bdsm|leather,Madrid,Strong The Club,2026-09-11,,Sin dress code obligatorio,Consultar strong.madrid/tickets/viernes/,https://strong.madrid/tickets/viernes/,https://t.me/s/strongtheclub,,,Fiesta nocturna regular de los viernes en Strong The Club (detectada vía su canal de Telegram).,2026-09-11
odarko-strong-2026-09-18,ODARKO — Last Heatwave,Strong The Club,bdsm|leather,Madrid,Strong The Club,2026-09-18,,,Consultar strong.madrid/tickets/odarko,https://strong.madrid/tickets/odarko,https://t.me/s/strongtheclub,,,"Fiesta fetish con dress code específico (cuero, goma, arneses). Detectada vía Telegram, más granular que la web principal.",2026-09-11
folsom-europe-berlin-2026,Folsom Europe,FOLSOM Europe e.V.,leather|bdsm,Berlín (Alemania),"Schöneberg (Fuggerstraße / Welserstraße)",2026-09-10,2026-09-13,Fuera de España — incluido a pedido explícito como referencia internacional,Consultar web oficial,https://folsomeurope.berlin/,https://folsomeurope.berlin/,,,"El mayor festival leather/fetish de Europa. Feria callejera el sábado, siete fiestas oficiales durante la semana (Bear Dance Folsom, Pig, Animalz, etc.).",2026-09-11
mado-madrid-2026,MADO — Madrid Orgullo,Madrid Orgullo (AEGAL),gay,Madrid,"Plaza de España, Puerta del Sol, Plaza Pedro Zerolo y otros escenarios",2026-06-25,2026-07-05,Edición 2026 ya finalizada — referencia para próxima edición,Gratuito en escenarios (fiestas privadas aparte),https://madridorgullo.com/,https://madridorgullo.com/,,,"El Orgullo estatal de Madrid. Escenarios gratuitos del 1 al 5 de julio y Manifestación Estatal LGTBIQ+.",2026-09-11
bear-carnival-maspalomas-2026,Bear Carnival Maspalomas,Bear Carnival,bear,Maspalomas (Gran Canaria),Centro Yumbo y varios locales,2026-03-19,2026-03-29,Edición 2026 ya finalizada — referencia para próxima edición,Consultar web oficial,https://bearcarnival.com/,https://bearcarnival.com/,,,"Unos 3.000 osos de todo el mundo, ~60-70 eventos en 9-10 días: pool parties, excursiones, cruceros nudistas.",2026-09-11
maspalomas-pride-2026,Maspalomas Pride,Maspalomas Pride,gay,Maspalomas (Gran Canaria),Centro Yumbo,2026-05-04,2026-05-10,Edición 2026 ya finalizada (25 aniversario) — referencia para próxima edición,Consultar web oficial,https://www.maspalomaspride.com/,https://www.maspalomaspride.com/,,,"Uno de los Prides con más afluencia de España. Gran Cabalgata el sábado.",2026-09-11
maspalomas-fetish-pride-2026,Maspalomas Fetish Pride,Fetish Week Maspalomas,bdsm|leather,Maspalomas (Gran Canaria),Centro Yumbo,2026-10-01,2026-10-12,,Consultar web oficial,https://www.travelgay.com/event/maspalomas-fetish-week,https://www.travelgay.com/event/maspalomas-fetish-week,,,Diez días de fiestas y eventos temáticos fetish en Maspalomas.,2026-09-11
brutal-maspalomas-2026,BRUTAL — Winter Fetish Festival,Brutal (antes Maspalomas Rubber Fest),bdsm|leather,Maspalomas (Gran Canaria),Centro Yumbo,2026-02-09,2026-02-15,Edición 2026 ya finalizada — referencia para próxima edición,Consultar web oficial,https://thegaypassport.com/events/brutal/,https://thegaypassport.com/events/brutal/,,,"Semana fetish de invierno en Maspalomas, antes conocida como Maspalomas Rubber Fest.",2026-09-11
winterpride-maspalomas-2026,WinterPride Maspalomas,Winter Pride,gay,Maspalomas (Gran Canaria),Centro Yumbo,2026-11-02,2026-11-08,12ª edición,Entrada libre en escenarios principales,https://www.winterpride.com/,https://www.winterpride.com/,,,"Semana de actuaciones en directo en el escenario del Centro Yumbo, pool parties y cruceros.",2026-09-11
bears-naturistas-vera-2026,Bears Naturistas Vera Playa,Bears Naturistas,bear,Vera (Almería),El Playazo de Vera / Hotel Vera Playa Club,2026-07-10,2026-07-20,"Edición 2026 (16ª) ya finalizada — referencia para próxima edición",Consultar web oficial (packs con/sin alojamiento),https://bearsnaturistas.com/,https://bearsnaturistas.com/,,,"Encuentro de osos naturistas en una de las mejores zonas naturistas de Europa. Naked Pool Party, boat party, fiestas temáticas nocturnas.",2026-09-11
madbear-beach-torremolinos-2026,Mad.Bear Beach Torremolinos,Mad Bear,bear,Torremolinos (Málaga),"Eden Beach, Hotel Ritual, Aqua Emporio, Búnker, Centuryon",2026-08-07,2026-08-18,Edición 2026 ya finalizada — referencia para próxima edición,Consultar web oficial,https://madbear.org/en/madbear-beach-torremolinos,https://madbear.org/en/madbear-beach-torremolinos,,,"Uno de los mayores eventos bear de Europa en la Costa del Sol: playa, piscina, boat parties, concurso Mr Madbear.",2026-09-11
daddy-week-torremolinos-2026,Daddy Week Torremolinos,Alexis Gil,daddy|gay,Torremolinos (Málaga),Plaza de la Nogalera y varios locales,2026-09-14,2026-09-20,,Consultar web oficial,https://www.gaytravel4u.com/event/daddy-week-torremolinos/,https://www.gaytravel4u.com/event/daddy-week-torremolinos/,,,Semana de fiestas para Daddies y admiradores en la zona de ambiente de Torremolinos.,2026-09-11
madbear-valencia-2026,Mad.Bear Valencia,Mad Bear,bear,Valencia,"Deseo54 Club, Fetish Club, Bubu Bar, Sauna Olimpic",2026-03-05,2026-03-08,Edición 2026 (4ª) ya finalizada — referencia para próxima edición,Consultar web oficial,https://madbear.org/en/valencia,https://madbear.org/en/valencia,,,"Coincide con las Fallas de Valencia. Bear Pop Party, Madwoof Party y fiesta principal en Deseo54.",2026-09-11
